Order_ID;Order_Date_Year;Order_Date_Month;Order_Date_Day;Order_Price_Total;Customer_Name;Customer_Country;Product_Name;Product_Category;Product_Order_Unit_Price;Product_Order_Quantity;Product_Order_Price_Total
11074;2009;9;10-9-2009;244.30;Simons bistro;Denmark;Pavlova;Confections;17.45;14;244.30
11075;2009;9;10-9-2009;586.00;Richter Supermarkt;Switzerland;Chang;Beverages;19.00;10;190.00
11075;2009;9;10-9-2009;586.00;Richter Supermarkt;Switzerland;Lakkalik��ri;Beverages;18.00;2;36.00
11075;2009;9;10-9-2009;586.00;Richter Supermarkt;Switzerland;Spegesild;Seafood;12.00;30;360.00
11076;2009;9;10-9-2009;1057.00;Bon app';France;Grandma's Boysenberry Spread;Condiments;25.00;20;500.00
11076;2009;9;10-9-2009;1057.00;Bon app';France;Teatime Chocolate Biscuits;Confections;9.20;10;92.00
11076;2009;9;10-9-2009;1057.00;Bon app';France;Tofu;Produce;23.25;20;465.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Chang;Beverages;19.00;24;456.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Chartreuse verte;Beverages;18.00;2;36.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Rh�nbr�u Klosterbier;Beverages;7.75;4;31.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Aniseed Syrup;Condiments;10.00;4;40.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Chef Anton's Cajun Seasoning;Condiments;22.00;1;22.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Grandma's Boysenberry Spread;Condiments;25.00;1;25.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Northwoods Cranberry Sauce;Condiments;40.00;2;80.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Louisiana Hot Spiced Okra;Condiments;17.00;1;17.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Original Frankfurter gr�ne So�e;Condiments;13.00;2;26.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Pavlova;Confections;17.45;2;34.90
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Sir Rodney's Marmalade;Confections;81.00;1;81.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Queso Manchego La Pastora;Dairy Products;38.00;2;76.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Mascarpone Fabioli;Dairy Products;32.00;1;32.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Camembert Pierrot;Dairy Products;34.00;2;68.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Tunnbr�d;Grains/Cereals;9.00;2;18.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Filo Mix;Grains/Cereals;7.00;2;14.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Wimmers gute Semmelkn�del;Grains/Cereals;33.25;2;66.50
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;P�t� chinois;Meat/Poultry;24.00;2;48.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Uncle Bob's Organic Dried Pears;Produce;30.00;1;30.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Tofu;Produce;23.25;1;23.25
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Ikura;Seafood;31.00;1;31.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Konbu;Seafood;6.00;4;24.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Jack's New England Clam Chowder;Seafood;9.65;3;28.95
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;Spegesild;Seafood;12.00;3;36.00
11077;2009;9;10-9-2009;1374.60;Rattlesnake Canyon Grocery;USA;R�d Kaviar;Seafood;15.00;2;30.00
11070;2009;9;9-9-2009;1873.50;Lehmanns Marktstand;Germany;Chai;Beverages;18.00;40;720.00
11070;2009;9;9-9-2009;1873.50;Lehmanns Marktstand;Germany;Chang;Beverages;19.00;20;380.00
11070;2009;9;9-9-2009;1873.50;Lehmanns Marktstand;Germany;Pavlova;Confections;17.45;30;523.50
11070;2009;9;9-9-2009;1873.50;Lehmanns Marktstand;Germany;Gorgonzola Telino;Dairy Products;12.50;20;250.00
11071;2009;9;9-9-2009;510.00;LILA-Supermercado;Venezuela;Uncle Bob's Organic Dried Pears;Produce;30.00;15;450.00
